CITY_NAME:lat=LATITUDE,lon=LONGITUDE
Taiyuan:lat=37.89305496,lon=112.5517044
Seoul:lat=37.54235077,lon=126.9352493
Sevilla:lat=37.37264633,lon=-5.970831871
Adana:lat=36.99998093,lon=35.32436371
Norfolk:lat=36.87929153,lon=-76.26856995
Tunis:lat=36.81881332,lon=10.16596031
Zibo:lat=36.79149628,lon=118.0620422
Jinan:lat=36.65553665,lon=116.9670563
Mosul:lat=36.33556747,lon=43.13712692
Mashhad:lat=36.29006958,lon=59.59685135
Aleppo:lat=36.21554565,lon=37.15928268
Lanzhou:lat=36.11343002,lon=103.5995941
Taegu:lat=35.86353683,lon=128.5913849
Tehran:lat=35.7744751,lon=51.44765091
Tokyo:lat=35.68305588,lon=139.8091888
Kawasaki:lat=35.50457001,lon=139.7272186
Oklahoma City:lat=35.48958969,lon=-97.53029633
Yokohama:lat=35.43738556,lon=139.6196594
Charlotte:lat=35.20581436,lon=-80.83568573
Pusan:lat=35.15786743,lon=129.0546875
Nagoya:lat=35.15492249,lon=136.9205933
Memphis:lat=35.11472702,lon=-90.00032806
Kyoto:lat=35.00912857,lon=135.7548218
Zhengzhou:lat=34.7576828,lon=113.641777
Homs:lat=34.73387527,lon=36.71817398
Luoyang:lat=34.67134857,lon=112.3612366
Osaka:lat=34.63552856,lon=135.5191193
Kabul:lat=34.53090668,lon=69.1367569
Hiroshima:lat=34.37755585,lon=132.4447784
Xian:lat=34.26569748,lon=108.8833618
Fes:lat=34.04356766,lon=-4.995547771
Atlanta:lat=33.79570007,lon=-84.34922791
Islamabad:lat=33.71815109,lon=73.06054688
Rawalpindi:lat=33.60580444,lon=73.04374695
Damascus:lat=33.51930237,lon=36.31345367
Phoenix:lat=33.50902176,lon=-112.11026
Baghdad:lat=33.33403778,lon=44.39783478
Dallas:lat=32.7637291,lon=-96.66368866
Esfahan:lat=32.65139008,lon=51.67918777
Nanjing:lat=32.04836655,lon=118.7689056
Amman:lat=31.94938278,lon=35.9329071
Amritsar:lat=31.63088989,lon=74.87155151
Lahore:lat=31.54505348,lon=74.34067535
Faisalabad:lat=31.40895081,lon=73.08345795
Shanghai:lat=31.24786949,lon=121.4726563
